coin,tf,config,L,slMult,RR,bias,IS_from,IS_to,OOS_from,OOS_to,IS_n,IS_WR,IS_avgR,IS_sumR,IS_PF,IS_maxDD,IS_net06,IS_net04,IS_sumR_TPfirst,OOS_n,OOS_WR,OOS_avgR,OOS_sumR,OOS_PF,OOS_maxDD,OOS_net06,OOS_net04,OOS_sumR_TPfirst,OOS_insufficient,survives_OOS,relaxed_IS
SOLUSDT,3m,WF-winner,10,1.0,4.5,2,2022-07-01,2025-04-18,2025-04-18,2026-06-30,14587,0.316994584218825,0.033824196213803635,493.3935501707536,1.05629795863555,-96.53125,-6967.534972802263,-4480.558798477925,550.7685501707535,6359,0.3119987419405567,0.01890529171253342,120.21875,1.031181610387926,-131.125,-4078.5630129433225,-2678.9690919622153,149.59375,False,True,False
SOLUSDT,3m,Fixed-default,30,2.1,3.5,5,2022-07-01,2025-04-18,2025-04-18,2026-06-30,4733,0.37312486794844707,0.030405408119404863,143.9087966291432,1.0551810757079658,-47.3125,-999.3231028946013,-618.2458030533533,147.8775466291432,2018,0.3810703666997027,0.05302757259177266,107.00964149019723,1.0988028313141645,-43.84375,-515.0425272966149,-307.6918043676776,107.47839149019723,False,True,
SOLUSDT,15m,WF-winner,50,1.0,4.5,0,2022-07-02,2025-04-18,2025-04-18,2026-06-30,745,0.3597315436241611,0.19823825503355705,147.6875,1.3587641387686935,-15.4375,-2.1798655659626913,47.775922956024864,153.90625,325,0.3076923076923077,-0.0028846153846153848,-0.9375,0.9952373392602001,-35.875,-81.63835428396521,-54.738069522643485,2.875,False,False,False
SOLUSDT,15m,Fixed-default,30,2.1,3.5,5,2022-07-02,2025-04-18,2025-04-18,2026-06-30,856,0.40186915887850466,0.0701900022073275,60.08264188947234,1.1359109451167473,-20.3125,-22.013334848085677,5.351990731100322,62.61389188947234,362,0.3784530386740331,0.0257287592436857,9.313810846214224,1.0489395643807644,-36.0625,-33.94770708374783,-19.52720110709382,9.313810846214224,False,True,
SOLUSDT,1h,WF-winner,15,1.0,3.0,2,2022-07-06,2025-04-18,2025-04-18,2026-06-30,544,0.48161764705882354,0.16702320418247296,90.8606230752653,1.362084674770671,-14.5,38.06792326983888,55.66548987164768,97.9856230752653,256,0.44921875,0.11318846160474344,28.97624617081432,1.237220972481922,-9.5625,-1.5318916777090337,8.63748760513209,30.91374617081432,False,True,False
SOLUSDT,1h,Fixed-default,30,2.1,3.5,5,2022-07-06,2025-04-18,2025-04-18,2026-06-30,217,0.3824884792626728,0.0941427030480847,20.42896656143438,1.1730351852741927,-12.9375,11.011894883509672,14.15091877615124,20.89771656143438,110,0.37272727272727274,-0.007954545454545454,-0.875,0.9855521155830753,-11.15625,-7.195754892918234,-5.088836595278822,-0.875,False,False,
SOLUSDT,4h,WF-winner,20,1.5,4.5,10,2022-07-21,2025-04-18,2025-04-18,2026-06-30,60,0.48333333333333334,0.6572708174774201,39.43624904864521,2.5352311065166018,-3.46875,37.601658224182145,38.21318849900317,40.24874904864521,24,0.375,0.27734375,6.65625,1.539240506329114,-6.125,5.717390594083121,6.030343729388747,6.65625,True,False,False
SOLUSDT,4h,Fixed-default,30,2.1,3.5,5,2022-07-21,2025-04-18,2025-04-18,2026-06-30,64,0.390625,0.1708984375,10.9375,1.3277153558052435,-4.53125,9.491987132912941,9.973824755275293,12.5625,25,0.4,0.10625,2.65625,1.2023809523809523,-5.375,1.9546699258014293,2.1885299505342855,2.65625,True,False,
SOLUSDT,1d,WF-winner,10,1.0,2.0,0,2022-10-29,2025-04-17,2025-04-18,2026-06-30,33,0.5757575757575758,0.42803030303030304,14.125,2.591549295774648,-2.0,13.540562233448924,13.73537482229928,14.125,14,0.42857142857142855,0.026785714285714284,0.375,1.0588235294117647,-2.625,0.04949202589553159,0.15799468393035498,0.375,True,False,False
SOLUSDT,1d,Fixed-default,30,2.1,3.5,5,2022-10-29,2025-04-17,2025-04-18,2026-06-30,13,0.23076923076923078,-0.4710895523612027,-6.124164180695635,0.32423015937151617,-7.90625,-6.231816362687217,-6.195932302023356,-6.124164180695635,4,0.5,0.7109375,2.84375,2.857142857142857,-0.53125,2.803883300102298,2.8171722000681987,2.84375,True,False,
