coin,side,entry_ts,exit_ts,R,day
ETHUSDT,short,1724230980000,1724249160000,-1.0,1724198400000
ETHUSDT,short,1725697080000,1725697800000,-1.0,1725667200000
ETHUSDT,long,1727024580000,1727042220000,-1.0,1726963200000
ETHUSDT,short,1727362980000,1727364780000,-1.0,1727308800000
ETHUSDT,long,1728320580000,1728324900000,-1.0,1728259200000
ETHUSDT,long,1729091880000,1729096380000,-1.0,1729036800000
ETHUSDT,long,1730318580000,1730318760000,-1.0,1730246400000
ETHUSDT,long,1730343780000,1730348460000,-1.0,1730332800000
ETHUSDT,short,1730728980000,1730757060000,3.0,1730678400000
ETHUSDT,short,1730800980000,1730816460000,-1.0,1730764800000
ETHUSDT,short,1734611220000,1734620760000,3.0,1734566400000
ETHUSDT,short,1734663780000,1734672960000,3.0,1734652800000
ETHUSDT,long,1736215380000,1736228520000,-1.0,1736208000000
ETHUSDT,short,1736533980000,1736728200000,-1.0,1736467200000
ETHUSDT,short,1737993780000,1738003320000,3.0,1737936000000
ETHUSDT,short,1738720980000,1738734840000,-1.0,1738713600000
ETHUSDT,short,1740211380000,1740214980000,-1.0,1740182400000
ETHUSDT,long,1740272580000,1740279240000,-1.0,1740268800000
ETHUSDT,short,1740528360000,1740578400000,3.0,1740528000000
ETHUSDT,short,1740643380000,1740652560000,-1.0,1740614400000
ETHUSDT,short,1741101660000,1741114980000,-1.0,1741046400000
ETHUSDT,short,1741701780000,1742306580000,0.110091,1741651200000
ETHUSDT,short,1742511780000,1742515380000,-1.0,1742428800000
ETHUSDT,short,1744119360000,1744129980000,3.0,1744070400000
ETHUSDT,long,1745590140000,1745713080000,3.0,1745539200000
ETHUSDT,short,1747616940000,1747674000000,-1.0,1747612800000
ETHUSDT,long,1748362680000,1748397780000,-1.0,1748304000000
ETHUSDT,short,1748790360000,1748792520000,-1.0,1748736000000
ETHUSDT,long,1748986200000,1748987640000,-1.0,1748908800000
ETHUSDT,long,1749103380000,1749105720000,-1.0,1749081600000
ETHUSDT,long,1749538980000,1749554100000,3.0,1749513600000
ETHUSDT,long,1749693780000,1749698280000,-1.0,1749686400000
ETHUSDT,short,1750295160000,1750405860000,-1.0,1750291200000
ETHUSDT,long,1752528960000,1752542280000,-1.0,1752451200000
ETHUSDT,long,1754535780000,1754553600000,3.0,1754524800000
ETHUSDT,long,1754751780000,1755012780000,3.0,1754697600000
ETHUSDT,short,1755612360000,1755622080000,3.0,1755561600000
ETHUSDT,short,1756854180000,1756865880000,-1.0,1756771200000
ETHUSDT,short,1757473380000,1757489220000,-1.0,1757462400000
ETHUSDT,short,1758096180000,1758119220000,3.0,1758067200000
ETHUSDT,short,1758892320000,1758894480000,-1.0,1758844800000
ETHUSDT,long,1759155300000,1759429980000,3.0,1759104000000
ETHUSDT,short,1760259780000,1760263200000,-1.0,1760227200000
ETHUSDT,short,1762376580000,1762443540000,3.0,1762300800000
ETHUSDT,long,1762736580000,1762786260000,-1.0,1762732800000
ETHUSDT,short,1763216460000,1763227080000,-1.0,1763164800000
ETHUSDT,short,1763647380000,1763665200000,3.0,1763596800000
ETHUSDT,short,1764640980000,1764672660000,-1.0,1764633600000
ETHUSDT,long,1765223640000,1765297800000,3.0,1765152000000
ETHUSDT,long,1766372940000,1766434500000,-1.0,1766361600000
ETHUSDT,long,1767596580000,1767644820000,3.0,1767571200000
ETHUSDT,long,1768539780000,1768577580000,-1.0,1768521600000
ETHUSDT,long,1768690980000,1768745700000,3.0,1768608000000
ETHUSDT,long,1769617800000,1769653800000,-1.0,1769558400000
ETHUSDT,short,1770739020000,1770744600000,-1.0,1770681600000
ETHUSDT,short,1771894980000,1771895700000,3.0,1771891200000
ETHUSDT,long,1773274320000,1773277380000,-1.0,1773273600000
ETHUSDT,long,1774954080000,1774965060000,3.0,1774915200000
ETHUSDT,long,1775881980000,1775884320000,-1.0,1775865600000
ETHUSDT,long,1776470580000,1776472380000,-1.0,1776470400000
ETHUSDT,short,1776651300000,1776669480000,-1.0,1776643200000
ETHUSDT,short,1779152580000,1779326100000,-1.0,1779148800000
ETHUSDT,short,1779386760000,1779475500000,3.0,1779321600000
ETHUSDT,short,1780696980000,1780718580000,3.0,1780617600000
ETHUSDT,short,1781834940000,1781838900000,3.0,1781827200000
ETHUSDT,long,1782165780000,1782167220000,-1.0,1782086400000
ETHUSDT,short,1782234180000,1782264600000,-1.0,1782172800000
ETHUSDT,long,1782810180000,1782818640000,-1.0,1782777600000
SOLUSDT,long,1659014640000,1659040380000,3.0,1658966400000
SOLUSDT,short,1659593880000,1659620700000,-1.0,1659571200000
SOLUSDT,long,1660000140000,1660009320000,-1.0,1659916800000
SOLUSDT,short,1660572900000,1660579020000,-1.0,1660521600000
SOLUSDT,short,1660615380000,1660648140000,-1.0,1660608000000
SOLUSDT,short,1660860720000,1660864680000,3.0,1660780800000
SOLUSDT,short,1660916340000,1660919400000,-1.0,1660867200000
SOLUSDT,short,1662552360000,1662555600000,-1.0,1662508800000
SOLUSDT,long,1663031700000,1663040880000,3.0,1663027200000
SOLUSDT,long,1663226280000,1663254900000,-1.0,1663200000000
SOLUSDT,short,1664204940000,1664215560000,-1.0,1664150400000
SOLUSDT,long,1666879560000,1666888020000,-1.0,1666828800000
SOLUSDT,long,1667121120000,1667123100000,-1.0,1667088000000
SOLUSDT,short,1671894180000,1671899040000,-1.0,1671840000000
SOLUSDT,long,1672528680000,1672548480000,-1.0,1672444800000
SOLUSDT,short,1674105840000,1674133740000,3.0,1674086400000
SOLUSDT,short,1676060100000,1676064780000,3.0,1675987200000
SOLUSDT,long,1676210940000,1676214720000,3.0,1676160000000
SOLUSDT,long,1676415960000,1676423880000,-1.0,1676332800000
SOLUSDT,long,1676773980000,1676786040000,3.0,1676764800000
SOLUSDT,short,1677787560000,1677806280000,3.0,1677715200000
SOLUSDT,long,1678753620000,1678778820000,-1.0,1678752000000
SOLUSDT,long,1679368140000,1679382360000,-1.0,1679356800000
SOLUSDT,short,1679594580000,1679678280000,3.0,1679529600000
SOLUSDT,short,1679965380000,1679967540000,-1.0,1679961600000
SOLUSDT,short,1680228900000,1680271740000,-1.0,1680220800000
SOLUSDT,short,1680739380000,1680777360000,3.0,1680739200000
SOLUSDT,short,1681009380000,1681042860000,-1.0,1680998400000
SOLUSDT,short,1681661160000,1681664400000,-1.0,1681603200000
SOLUSDT,long,1681732980000,1681745760000,-1.0,1681689600000
SOLUSDT,long,1682751960000,1682772660000,3.0,1682726400000
SOLUSDT,long,1683219780000,1683224100000,-1.0,1683158400000
SOLUSDT,short,1685559780000,1685571480000,-1.0,1685491200000
SOLUSDT,short,1686064500000,1686072420000,-1.0,1686009600000
SOLUSDT,short,1686565440000,1686657780000,-1.0,1686528000000
SOLUSDT,long,1687594680000,1687619700000,-1.0,1687564800000
SOLUSDT,long,1687702860000,1687705200000,-1.0,1687651200000
SOLUSDT,long,1687730760000,1687741020000,-1.0,1687651200000
SOLUSDT,long,1689527340000,1689532020000,-1.0,1689465600000
SOLUSDT,long,1689815340000,1689863760000,-1.0,1689811200000
SOLUSDT,long,1691179380000,1691181360000,-1.0,1691107200000
SOLUSDT,long,1691892900000,1691903700000,-1.0,1691884800000
SOLUSDT,short,1692212580000,1692217620000,3.0,1692144000000
SOLUSDT,short,1692785160000,1692796140000,3.0,1692748800000
SOLUSDT,long,1693159740000,1693183860000,-1.0,1693094400000
